Player,Squad,Pos,Age,Gls,Ast,Min,MP,Sh,SoT,xG,xAG,Cmp,League,Country,Source,Source_URL,position,age,weekly_gross,annual_gross,currency
Rayan Cherki,Manchester City,"MF,FW",22-121,1,6,488,11,,,1.0,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,RW,22,180000.0,9360000.0,£
Federico Chiesa,Liverpool,"FW,MF",28-052,2,1,161,11,,,1.2,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,RW,27,150000.0,7800000.0,£
Tawanda Chirewa,Wolves,"MF,FW",22-066,0,0,22,1,,,0.0,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,AM,21,10000.0,520000.0,£
Ryan Christie,Bournemouth,MF,30-297,1,0,279,10,,,1.1,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,CM,30,70000.0,3640000.0,£
Samuel Chukwueze,Fulham,FW,26-208,2,4,398,9,,,1.0,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,RW,26,120000.0,6240000.0,£
Nathaniel Clyne,Crystal Palace,DF,34-255,0,0,157,3,,,0.4,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,RB,34,50000.0,2600000.0,£
Séamus Coleman,Everton,"DF,FW",37-066,0,0,11,3,,,0.0,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,RB,36,55000.0,2860000.0,£
Nathan Collins,Brentford,DF,24-230,0,0,"1,367",16,,,1.1,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,CB,24,30000.0,1560000.0,£
Lewis Cook,Bournemouth,"DF,MF",28-316,0,0,214,7,,,0.0,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,CM,28,60000.0,3120000.0,£
Diego Coppola,Brighton,DF,21-353,0,0,18,3,,,0.0,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,CB,21,25000.0,1300000.0,£
Marc Cucurella,Chelsea,DF,27-147,0,2,"1,346",16,,,0.6,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,LB,27,175000.0,9100000.0,£
